head_entity	relation	tail_entity
lipopolysaccharide	ingredient_of	bacterial cell wall
lipopolysaccharide	causes	sepsis
yersinia pestis	causes	plague
dna	causes	mutation
dna	causes	inheritance
dna	causes	disorder
cisplatin	causes	mitochondrial dysfunction
lung	ingredient_of	air
lung	affects	respiratory function
macrophages	ingredient_of	immune system
nicotine	causes	addiction
contact lens	affects	visual acuity
contact lens	affects	visual performance
contact lens	affects	visual function
contact lens	affects	visual symptoms
contact lens	affects	visual ability
hypoglossal nerve palsy	causes	symptoms
hypoglossal nerve palsy	causes	patient
compensatory hyperplasia	causes	partial hepatectomy
compensatory hyperplasia	affects	liver function
compensatory hyperplasia	diagnoses	liver hypertrophy
infertility	ingredient_of	infertility drugs
transfusion	treats	hemolytic disease of the newborn
lipid peroxidation	causes	oxidative stress
pain	affects	patient
gallstone ileus	affects	bowel obstruction
lactate measurement	affects	lactate levels
lactate measurement	measures	lactate levels
lactate measurement	ingredient_of	blood
heart	ingredient_of	cardiac muscle
heart	affects	cardiac hypertrophy
heart	affects	cardiac fibrosis
mesothelioma	causes	asbestos exposure
human papillomavirus	causes	oral lichen planus
human papillomavirus	causes	oral mucosa
human papillomavirus	causes	chronic rhinosinusitis
vapb	affects	protein homeostasis
hypoglycemia	causes	low blood sugar
epilepsy	affects	seizure frequency
spontaneous intracerebral hemorrhage	diagnoses	intracerebral hemorrhage
spontaneous intracerebral hemorrhage	ingredient_of	blood
spontaneous intracerebral hemorrhage	part_of	intracerebral hemorrhage
hemoglobin	part_of	red blood cells
ipa	causes	psychoanalytic training
benzodiazepines	isa	drug
sars-cov	causes	severe acute respiratory syndrome
aldosterone	causes	hypertension
antibiotic	interacts_with	bacteria
acute pulmonary embolism	diagnoses	thromboembolism
acute pulmonary embolism	affects	patients
acute pulmonary embolism	treats	patients
acute pulmonary embolism	part_of	cardiovascular disease
acute pulmonary embolism	interacts_with	right ventricular function
acute pulmonary embolism	ingredient_of	blood
hypertension	causes	genetic factors
hypertension	causes	drug abuse
hypertension	causes	alcohol abuse
hypertension	causes	tobacco use
pheochromocytoma	causes	hypertension
acute bronchitis	causes	bacterial infection
sprix	ingredient_of	sodium metabisulfite
sprix	ingredient_of	sodium acetate trihydrate
sprix	ingredient_of	anhydrous lactose
sprix	ingredient_of	crospovidone
sprix	ingredient_of	polyethylene glycol 3350
sprix	ingredient_of	macrogol 6000
sprix	ingredient_of	talc
sprix	ingredient_of	titanium dioxide
sprix	ingredient_of	polyethylene glycol 400
sprix	ingredient_of	carboxymethylcellulose sodium
sprix	ingredient_of	methylparaben
sprix	ingredient_of	propylparaben
mast cells	confirmed	confocal laser scanning microscopy
pd-1	measurement_of	pocket formation
diabetes	isa	diabetes mellitus
gene	associated_with	disease
patient	causes	renal dysfunction
patient	causes	renal failure
patient	causes	renal insufficiency
patient	causes	renal impairment
patient	causes	renal damage
patient	causes	renal injury
phenobarbital	treats	epilepsy
phenytoin	treats	epilepsy
hcv	daa	hiv
smoking	affects	respiratory system
smoking	ingredient_of	tobacco
ikappab	part_of	cytosol
ikappab	measurement_of	protein concentration
ikappab	manifestation_of	gene expression
nf-kappab	causes	inflammatory response
nf-kappab	affects	gene expression
ikappab	interacts_with	transcription factor
ikappab	causes	protein degradation
stroke	causes	family history
stroke	causes	psychological factors
aml	diagnoses	acute myeloid leukaemia
vitamin d	diagnoses	vitamin d deficiency
renal cell carcinoma	affects	kidney
duodenal adenocarcinoma	causes	gastrointestinal malignancies
duodenal adenocarcinoma	affects	small bowel
duodenal adenocarcinoma	diagnoses	gastrointestinal malignancies
atherosclerosis	affects	blood vessels
aging	measurement_of	life expectancy
hypertension	causes	resistant hypertension
escherichia coli	causes	infection
cataract	measured_by	visual acuity
endothelium	isa	cell type
colorectal cancer	affects	patients
rainbow trout	ingredient_of	serum
smoking	causes	cardiovascular disease
melanoma	affects	skin
bbs	causes	meckel syndrome
bbs	causes	occipital encephalocele
bbs	causes	polydactyly
bbs	causes	cystic kidneys
tobacco	affects	respiratory system
pain management	treats	pain
calcitonin gene-related peptide	part_of	myocytes
obesity	diagnoses	body mass index
obesity	causes	sedentary lifestyle
dendritic cells	ingredient_of	immune system
n-acetylcysteine	treats	oxidative stress
mucus	part_of	mucoviscidosis
mucus	ingredient_of	mucoviscidosis
diabetes	associated_with	cardiovascular disease
propranolol	causes	tachycardia
helicobacter pylori	causes	disease
breast tumor	affects	breast tissue
breast tumor	causes	breast cancer
breast tumor	diagnoses	invasive lobular carcinoma
breast tumor	diagnoses	invasive breast carcinoma
breast tumor	diagnoses	infiltrating ductal carcinoma
breast tumor	diagnoses	infiltrating lobular carcinoma
laser	associated_with	optical damage threshold
glaucoma	affects	vision
insulin	interacts_with	glucose
covid-19	affects	public health
influenza	ingredient_of	influenza virus
irritable bowel syndrome	causes	functional gastrointestinal disorder
lactobacillus plantarum	metabolism	oxygen
ferroptosis	affects	phenotype
collagen peptides	associated_with	young adults
collagen peptides	interacts_with	knee joint
collagen peptides	ingredient_of	dietary supplement
collagen peptides	causes	joint pain
creatinine clearance	measurement_of	renal function
amyotrophic lateral sclerosis	diagnoses	motor neuron disease
preeclampsia	causes	hypertension
dna	part_of	cell
dna	causes	genetic abnormalities
dna	causes	genetic diseases
dna	causes	genetic disorders
autism	isa	neurodevelopmental disorder
autism	diagnoses	autism spectrum disorder
corticotropin releasing factor	measured plasma acth, beta endorphin, cortisol, gh and prl responses to crf	peptide
corticotropin releasing factor	determined the pharmacokinetic properties of i125 in these primates	peptide
corticotropin releasing factor	administered intravenous, intramuscular, and intracerebroventricular crh to non-human primates and measured plasma acth, beta endorphin, cortisol, gh and prl responses to crf	peptide
corticotropin releasing factor	thought to be an important modulator of both the pituitary-adrenal axis and the sympathetic nervous system	peptide
corticotropin releasing factor	first isolated from sheep hypothalami and thought to be an important modulator of both the pituitary-adrenal axis and the sympathetic nervous system	peptide
hepatocellular carcinoma	affects	drug discovery
hepatocellular carcinoma	manifestation_of	drug discovery
hepatocellular carcinoma	associated_with	poor prognosis
hcv	causes	immune deficiency
hypertension	diagnoses	high blood pressure
glaucoma	causes	elevated intraocular pressure
glaucoma	causes	ocular hypertension
cisplatin	diagnoses	renal epithelial cell line
scn9a	causes	pancreatitis
scn9a	causes	phantom pain
scn9a	causes	lumbar discectomy
scn9a	causes	acute bronchitis
scn9a	causes	disease
scn9a	causes	pain perception
scn9a	causes	pain score
carbon dioxide laser	diagnoses	glaucoma
cataract	isa	eye disease
myopia	associated_with	high myopia
myopia	manifestation_of	refractive status
myopia	ingredient_of	aqueous humor
myopia	treats	cataracts
chicken	ingredient_of	food
cardiovascular disease	affects	digestive system
cardiovascular disease	affects	reproductive system
cardiovascular disease	affects	immune system
cardiovascular disease	affects	endocrine system
cardiovascular disease	affects	urinary system
cardiovascular disease	affects	circulatory system
cardiovascular disease	affects	lymphatic system
cardiovascular disease	affects	musculoskeletal system
cardiovascular disease	affects	integumentary system
cardiovascular disease	affects	nervous system
cardiovascular disease	affects	sensory system
cardiovascular disease	affects	autonomic nervous system
mri	measures	magnetic resonance imaging
mitral valve prolapse	manifestation_of	cardiovascular disease
mitral valve prolapse	measured_by	cardiac catheterization
mitral valve prolapse	measured_by	cardiac magnetic resonance imaging
mitral valve prolapse	affects	quality of life
mitral valve prolapse	measured_by	cardiac computed tomography
mitral valve prolapse	affects	cardiac function
mitral valve prolapse	measured_by	echocardiography
bmi	diagnoses	obesity
insulin	causes	insulin resistance
isoniazid	treats	tuberculosis
acute aortic dissection	causes	trauma
acute aortic dissection	causes	hypertension
acute aortic dissection	causes	atherosclerosis
acute aortic dissection	causes	connective tissue disorder
acute aortic dissection	causes	autoimmune disorder
acute aortic dissection	causes	infectious disease
acute aortic dissection	causes	genetic disorder
acute aortic dissection	causes	drug toxicity
acute aortic dissection	causes	smoking
acute aortic dissection	causes	radiation exposure
psychological impact	measurement_of	mental health
psychological impact	manifestation_of	anxiety
psychological impact	part_of	mental health
psychological impact	affects	mental health
psychological impact	diagnoses	mental health
cannabis	diagnoses	substance use disorder
toxic shock syndrome	causes	illness
men	diagnoses	toxic shock syndrome
hyperviscosity syndrome	causes	disease
hyperviscosity syndrome	affects	disease
toxic shock syndrome	diagnoses	illness
men	causes	toxic shock syndrome
aging	part_of	aging process
blowout	causes	respiratory failure
blowout	causes	cardiac arrest
blowout	causes	death
blowout	causes	patient
rat brain	part_of	central nervous system
triple arthrodesis	part_of	foot
bilirubin	causes	biliary dyskinesia
bilirubin	causes	biliary stricture
bilirubin	causes	biliary hamartoma
bilirubin	causes	biliary papillomatosis
bilirubin	causes	biliary malformation
bilirubin	causes	biliary cirrhosis
bilirubin	causes	biliary stasis
bilirubin	causes	biliary leaks
acute pancreatitis	affects	pancreas
renal artery stenosis	causes	hypertension
diabetes	affects	insulin resistance
x chromosome	causes	psychiatric disorders
x chromosome	associated_with	psychiatric disorders
x chromosome	measurement_of	psychiatric disorders
x chromosome	manifestation_of	psychiatric disorders
x chromosome	part_of	human genome
interferon-gamma	diagnoses	endometriosis
aspergillus fumigatus	causes	invasive aspergillosis
fiv	causes	immunodeficiency
cancer	diagnoses	malignancy
cancer	causes	FLT3 inhibition
pulmonary embolism	causes	thromboembolism
amoxicillin	treats	complicated urinary tract infections
amoxicillin	treats	acute bacterial sinusitis
amoxicillin	treats	bacterial meningitis
amoxicillin	treats	pneumonia
amoxicillin	treats	acute exacerbation of chronic bronchitis
amoxicillin	treats	cystitis
amoxicillin	treats	anthrax
hbv	affects	liver function
hbv	affects	immune system
senescence	diagnoses	cellular senescence
phosphorylation	isa	biochemical process
HIV infection	causes	Psychosis
HIV infection	affects	Psychosis
HIV infection	interacts_with	Psychosis
HIV infection	diagnoses	Psychosis
HIV infection	measured_by	Psychosis
HIV infection	manifestation_of	Psychosis
HIV infection	part_of	Psychosis
HIV infection	associated_with	Psychosis
HIV infection	ingredient_of	Psychosis
genetic variation	affects	genetic properties
staphylococcus aureus	causes	mastitis
dog	causes	metabolic acidosis
dog	causes	acute oliguric renal failure
dog	affects	cns depression
dog	diagnoses	renal toxicity
dog	ingredient_of	ethylene glycol
capillary	part_of	capillary zone electrophoresis
development	isa	biological process
belladonna mottle virus	part_of	virion
attr amyloidosis	part_of	amyloid deposits
attr amyloidosis	measurement_of	amyloid deposits
attr amyloidosis	affects	amyloid deposits
membrane	part_of	cell
membrane potential	ingredient_of	cellular components
psoriasis	causes	psoriatic arthritis
rabies virus	causes	rabies
left ventricle	part_of	cardiovascular system
iodine	intake	nutrient
iodine	excretion	urine
calcium	diagnoses	colorectal cancer
radiotherapy	interacts_with	cancer
glaucoma	measured_by	intraocular pressure
peritonitis	manifestation_of	abdominal pain
mycobacterium leprae	causes	leprosy
covid-19	affects	lung injury
covid-19	affects	lung inflammation
nucleus accumbens	part_of	brain
hiv-1	part_of	retrovirus
cataract	causes	aging
oncology	diagnoses	cancer
porcine aortic endothelial cells	causes	acute respiratory distress syndrome
respiratory distress syndrome	causes	chronic lung disease
cirrhosis	affects	liver
ucp1	diagnoses	mitochondrial dysfunction
ucp1	part_of	mitochondria
ucp1	measurement_of	protein expression
ucp1	treats	mitochondrial dysfunction
ucp1	causes	mitochondrial dysfunction
covid-19	causes	sars-cov-2
neutrophils	part_of	immune system
AML	interacts_with	immune system
AML	interacts_with	nervous system
AML	interacts_with	endocrine system
AML	interacts_with	respiratory system
AML	interacts_with	cardiovascular system
AML	interacts_with	digestive system
AML	interacts_with	urinary system
AML	interacts_with	reproductive system
AML	interacts_with	musculoskeletal system
AML	interacts_with	integumentary system
AML	interacts_with	sensory system
AML	interacts_with	autonomic nervous system
AML	interacts_with	lymphatic system
lung cancer	causes	death
intervertebral disc degeneration	affects	pyroptosis
copd	causes	respiratory disease
stemi	causes	myocardial infarction
stemi	diagnoses	acute coronary syndrome
hemoglobin	ingredient_of	blood
hemoglobin	measurement_of	oxygen saturation
phenytoin	ingredient_of	medication
phenytoin	part_of	medication
echocardiography	diagnoses	heart disease
air	interacts_with	ambient air
cataract	ingredient_of	lens
cataract	treats	small incision cataract surgery
brunner's gland	pedunculated polypoid mass	resection
npr1	interacts_with	yeast
npr1	interacts_with	nitrogen source
npr1	interacts_with	golgi
npr1	interacts_with	acute bronchitis
npr1	interacts_with	amoxicillin
npr1	interacts_with	disease
hepatocellular carcinoma	causes	cancer
maize	root	type
htlv-1	causes	adult t-cell leukemia
inflammation	associated_with	hyperalgesia
inflammation	associated_with	hindpaw
inflammation	associated_with	spinal cord
